REGION_ID,tikv(20160),tikv(20161),tikv(20162),l,r
14081,000157.sst(76M),000110.sst(76M),000098.sst(76M),0,50361
14085,000157.sst(76M),000110.sst(76M),000098.sst(76M),50361,203391
14057,000157.sst(76M),000110.sst(76M),000098.sst(76M),203391,385219
14105,000157.sst(76M),000110.sst(76M),000098.sst(76M),385219,583946
14133,000157.sst(76M),000110.sst(76M),000098.sst(76M),583946,777161
14141,000112.sst(73M),000111.sst(73M),000099.sst(73M),777161,1093171
14129,000112.sst(73M),000111.sst(73M),000099.sst(73M),1093171,1289283
2013,000112.sst(73M),000111.sst(73M),000099.sst(73M),1289283,1458104
14049,000112.sst(73M),000111.sst(73M),000099.sst(73M),1458104,1633187
14093,000112.sst(73M),000111.sst(73M),000099.sst(73M),1633187,1825194
14137,000112.sst(73M),000111.sst(73M),000099.sst(73M),1825194,1993253
14101,000112.sst(73M),000111.sst(73M),000099.sst(73M),1993253,2310869
2009,000112.sst(73M),000111.sst(73M),000099.sst(73M),2310869,2528312
