bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,41,1782372905054835634.pt,301.9242698115251,1116.7843937102505,465.59345383273416
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,42,1782372905054835634.pt,281.75745629851554,1043.9044639548465,434.4525895293027
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,43,1782372905054835634.pt,259.2685983241296,964.1097155084155,400.16666949186873
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,44,1782372905054835634.pt,234.5404146753405,875.9383010178935,362.4923486132474
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,45,1782372905054835634.pt,207.9567847534809,780.4775659201277,321.48803390746025
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,46,1782372905054835634.pt,178.27210807462637,675.8256759464539,276.68121768850983
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,47,1782372905054835634.pt,148.8044659411711,567.8873483528824,230.87524879711447
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,48,1782372905054835634.pt,118.12325013379848,455.519648753226,185.00657506625168
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,49,1782372905054835634.pt,89.788255226578,347.7459636437214,140.86754907974992
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,50,1782372905054835634.pt,64.1680884670478,251.7177629828437,101.45385344405094
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,51,1782372905054835634.pt,42.54694142388424,170.16057504626605,67.77770872704514
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,52,1782372905054835634.pt,25.218237085358624,103.95391679699284,40.803232179618846
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,53,1782372905054835634.pt,12.832860677830716,55.71031726601282,21.7440494570869
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,54,1782372905054835634.pt,5.952107286586879,25.571870407190307,10.87872310880776
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,55,1782372905054835634.pt,3.742894768579653,10.403767793344466,7.559987347664459
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,63,1782372905054835634.pt,3.772125190849347,10.619812241378854,7.506772853749728
1024,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/full/cost/,128,0.6,cost,70,1782372905054835634.pt,3.8403666865340673,10.840687165573092,7.495649385197938
